"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"","null","html-keyboard-response","196","303403","0.0-1.0-1.97","null","","","","","","Correct!"
"","821","canvas-keyboard-response","197","304735","0.0-1.0-0.98","j","false","40","false","response","true",""
"","null","html-keyboard-response","198","306251","0.0-1.0-1.98","null","","","","","","Correct!"
"","889","canvas-keyboard-response","199","307653","0.0-1.0-0.99","j","false","30","false","response","true",""
"","null","html-keyboard-response","200","309168","0.0-1.0-1.99","null","","","","","","Correct!"
"","554","canvas-keyboard-response","201","310227","0.0-1.0-0.100","f","true","30","false","response","true",""
"","null","html-keyboard-response","202","311744","0.0-1.0-1.100","null","","","","","","Correct!"
"","674","canvas-keyboard-response","203","312926","0.0-1.0-0.101","f","true","10","true","response","true",""
"","null","html-keyboard-response","204","314442","0.0-1.0-1.101","null","","","","","","Correct!"
"","806","canvas-keyboard-response","205","315761","0.0-1.0-0.102","j","false","30","false","response","true",""
"","null","html-keyboard-response","206","317274","0.0-1.0-1.102","null","","","","","","Correct!"
"","449","canvas-keyboard-response","207","318236","0.0-1.0-0.103","f","true","30","false","response","true",""
"","null","html-keyboard-response","208","319754","0.0-1.0-1.103","null","","","","","","Correct!"
"","519","canvas-keyboard-response","209","320787","0.0-1.0-0.104","j","false","10","false","response","true",""
"","null","html-keyboard-response","210","322307","0.0-1.0-1.104","null","","","","","","Correct!"
"","814","canvas-keyboard-response","211","323635","0.0-1.0-0.105","j","false","40","false","response","true",""
"","null","html-keyboard-response","212","325154","0.0-1.0-1.105","null","","","","","","Correct!"
"","373","canvas-keyboard-response","213","326038","0.0-1.0-0.106","f","true","30","true","response","true",""
"","null","html-keyboard-response","214","327553","0.0-1.0-1.106","null","","","","","","Correct!"
"","1171","canvas-keyboard-response","215","329246","0.0-1.0-0.107","f","true","30","true","response","true",""
"","null","html-keyboard-response","216","330762","0.0-1.0-1.107","null","","","","","","Correct!"
"","551","canvas-keyboard-response","217","331827","0.0-1.0-0.108","f","true","30","false","response","true",""
"","null","html-keyboard-response","218","333346","0.0-1.0-1.108","null","","","","","","Correct!"
"","880","canvas-keyboard-response","219","334734","0.0-1.0-0.109","j","false","30","true","response","true",""
"","null","html-keyboard-response","220","336250","0.0-1.0-1.109","null","","","","","","Correct!"
"","1783","canvas-keyboard-response","221","338545","0.0-1.0-0.110","j","false","30","true","response","true",""
"","null","html-keyboard-response","222","340066","0.0-1.0-1.110","null","","","","","","Correct!"
"","999","canvas-keyboard-response","223","341576","0.0-1.0-0.111","f","true","10","true","response","true",""
"","null","html-keyboard-response","224","343090","0.0-1.0-1.111","null","","","","","","Correct!"
"","1072","canvas-keyboard-response","225","344673","0.0-1.0-0.112","f","true","40","true","response","true",""
